event_id,true_master_id,stage04_supplier_top1,stage04_artwork_top1,ambiguous,trigger_reason,llm_invoked,llm_master_id,llm_confidence,llm_capped,llm_reasoning,llm_error,llm_correct
evt_1,1,1,1,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_10,10,10,10,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_14,14,14,14,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_17,17,17,17,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_18,18,18,18,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_19,19,19,19,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_2,2,2,2,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_21,21,21,21,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_22,22,22,22,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_24,24,24,24,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_25,25,25,25,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_26,26,26,26,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_28,28,28,28,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_29,29,29,29,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_3,3,3,3,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_30,30,30,30,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_4,4,4,4,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_5,5,5,5,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_8,8,8,8,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
evt_9,9,9,9,True,forced (--force-all),False,,0.0,False,LLM disambiguation not configured (no API key); case would route to human review,,
